email,highnotifications,highbenmed,highexperience,lowexperience,med_experience,nut_experience,highnotifdist,highnotifremind,highdifficulty,dailynotif_selfreport,dailynotif,dailynotif_test,dailynotif_msg,dailynotif_update,dailynotif_remind,dailynotif_other,dailynotif_act,dailynotif_dist,lownotifications,notifyingapps,rel_ben_med,rel_cost_med,net_rel_ben_med,med_ever,nuttrack_ever,med_last_month,nuttrack_last_month,med_daily_ever,nuttrack_daily_ever,experience,imp_med,imp_exercise,imp_nut,imp_sleep,fun_med,fun_exercise,fun_nut,fun_sleep,diff_med,diff_exercise,diff_nut,diff_sleep
E0001,1,0,1,0,1,3,1,0,0,50,73,0,31,41,1,0,1,72,0,25,-8,9,-17,1,1,0,1,0,1,4,2,8,10,8,2,5,5,5,7,7,1,3
E0002,1,0,1,0,2,3,0,1,0,30,25,0,15,1,9,0,9,16,0,6,-0.6,2.9,-3.5,1,1,0,1,1,1,5,9.4,8.5,10,7.4,9.2,7.1,6.5,10,6.9,8.6,1.3,7.2
E0003,1,0,0,1,0,3,1,0,0,25,53.845401763916016,0,25,27.845401763916016,1,0,1,52.845401763916016,0,8,-1.5,-1.2,-0.30000000000000004,0,1,0,1,0,1,3,7,10,8.5,10,7.5,10,6.5,10,3.5,1.5,3.7,5
E0004,0,1,1,0,3,2,1,1,0,15,39.131492614746094,0,36,0,3.1314923763275146,0,3.1314923763275146,36,-1,7,4.3,-8.2,12.5,1,1,1,0,1,1,5,8.3,7.2,4,9,7.8,6.8,2.7,10,2.9,5.9,6,3
E0005,1,1,1,0,3,2,1,1,0,30,60.85714340209961,0,22,25.285715103149414,13.571428298950195,0,13.571428298950195,47.285715103149414,0,10,2.4,-7.9,10.3,1,1,1,0,1,1,5,7.6,8,5.2,9.3,5.9,6,1.2,3.9,1.3,6,4.5,5.7
E0006,1,0,0,1,0,3,1,0,0,40,45.46144104003906,0,45.03287124633789,0.1428571492433548,0.2857142984867096,0,0.2857142984867096,45.175728395581245,0,5,-6,8.8,-14.8,0,1,0,1,0,1,3,4,10,10,7.9,6.5,8,7.5,8.1,7.8,7.5,0,6.8
E0007,1,1,1,0,2,2,0,0,1,20,20,0,20,0,0,0,0,20,0,1,2,-2.4,4.4,1,1,0,0,1,1,4,7,9.4,5,8,6.4,6.4,6.4,10,7.6,5.9,10,7.5
E0008,0,1,1,0,3,3,1,1,0,15,143,0,125,4,14,0,14,129,-1,7,1.7,-8.7,10.399999999999999,1,1,1,1,1,1,6,8.7,10,7,10,8.2,6.7,3.3,7.1,3.3,7.1,7.1,6
E0009,1,1,1,0,3,2,1,1,1,30,44.447635650634766,0,35.71428680419922,1.0190664529800415,7,0.7142857313156128,7,36.73335325717926,0,10,-0.4,-5.6,5.199999999999999,1,1,1,0,1,1,5,7.7,10,8.1,8.5,10,7.9,6.6,10,6,4,8.2,7.3
E0010,1,1,1,0,3,2,1,1,0,30,47.57142639160156,0,15.571428298950195,19,13,0,13,34.571428298950195,0,15,1,-8,9,1,1,1,0,1,1,5,8,8.5,7,9,7,5,3,8,3,5,7,10
E0011,1,1,1,0,1,3,1,1,0,100,90,0,70,15,5,0,5,85,0,5,-1.6,-4.7,3.1,1,1,0,1,0,1,4,8.4,10,10,10,8.9,7.5,2.2,10,2,0,0,6.3
E0012,1,0,1,0,2,2,0,1,0,20,15,0,0,6,9,0,9,6,0,5,-1.9,0,-1.9,1,1,1,0,0,1,4,8.1,9.5,10,7.4,9.3,9.5,9.9,9.7,3.4,2,4,8.9
E0013,0,1,1,0,3,2,1,0,0,4,43,0,42,0,1,0,1,42,-1,3,0,-7,7,1,1,1,0,1,1,5,9,10,9,9.5,8,9,4,3,3,3,6,3
E0014,1,0,0,1,1,1,0,0,0,20,22.14285659790039,0,22.14285659790039,0,0,0,0,22.14285659790039,0,2,1.2,0.7,0.5,1,1,0,0,0,0,2,4,9.3,2.8,9.5,6,7.2,1.8,8.2,7.1,10,2.2,0.8
E0015,0,1,1,0,2,2,0,0,1,15,17,0,13,4,0,0,0,17,-1,4,1,-8,9,1,1,0,0,1,1,4,6,8.5,5,10,5,3,1,10,5,7,9,3.9
E0016,0,0,1,0,2,2,1,1,0,5,115,0,110,3,2,0,2,113,-1,5,-4.2,-2.5,-1.7000000000000002,1,1,0,0,1,1,4,5.8,10,10,10,5,3.7,2.1,6.5,5.2,4.2,4.8,6.3
